first_name,last_name,email,department,salary
Raúl,Palau,pepe65@example.com,Engineering,31482.37
Angelino,Gómez,mayterozas@example.net,Human Resources,56689.61
Encarnita,Peiró,cletoroura@example.com,Operations,71790.01
Tomás,Nogueira,rebecavilanova@example.com,Engineering,43715.81
Camila,Batalla,obonet@example.com,Operations,43723.42
Nilo,Merino,manuelcarpio@example.org,Operations,41347.59
Inés,Morell,mlopez@example.com,Sales,40995.01
Sara,Expósito,serafinacaceres@example.com,Finance,44323.49
Nazaret,Guijarro,maria-teresa47@example.com,Sales,65321.07
Valero,Méndez,elisabetcalderon@example.net,Engineering,48289.51
Íngrid,Gomez,paulino81@example.com,Sales,72539.37
Alicia,Giralt,delfinaesteban@example.net,Sales,66556.97
Timoteo,Casanovas,nico88@example.com,Engineering,76843.1
Regina,Meléndez,valerooctavio@example.net,Human Resources,60138.18
Reinaldo,Blanca,santamariasoledad@example.org,Sales,69158.37
Victor,Botella,ramoninigo@example.net,Finance,20317.72
Julieta,Asensio,sterron@example.org,Marketing,67496.67
Emilio,Peral,alejandroescamilla@example.org,Human Resources,52848.86
Inocencio,Castells,lcodina@example.org,Human Resources,66070.34
Víctor,Puente,ougarte@example.com,Marketing,21700.83
Leocadia,Bello,juan-manuel89@example.org,Operations,71806.62
Emigdio,Benítez,cordobapalmira@example.com,Engineering,56087.12
Salvador,Castañeda,iduque@example.com,Sales,49376.35
Perlita,Guillén,amparo38@example.org,Marketing,29182.38
Eutropio,Torrent,cristianbuendia@example.net,Operations,40000.15
Feliciano,Juliá,camilamora@example.com,Marketing,39650.82
Lara,Lago,doloressales@example.net,Sales,39460.39
Delfina,Roldan,natanael96@example.com,Operations,24490.83
Guillermo,Higueras,lazaro02@example.net,Sales,64663.99
Felicia,Tapia,carolinaharo@example.com,Operations,52656.77
Concepción,Cobo,varregui@example.org,Human Resources,26147.43
Balduino,Uriarte,catalanamor@example.com,Sales,47602.44
Fito,Salazar,inigo33@example.net,Operations,36593.73
Mamen,Collado,heracliomarco@example.org,Operations,19254.59
Tito,Gordillo,liliana04@example.net,Marketing,54643.07
Ovidio,Echevarría,samperambrosio@example.net,Sales,72973.81
Cristóbal,León,dionisiaarellano@example.org,Engineering,73465.3
Borja,Mármol,nunezeliseo@example.com,Human Resources,76960.82
María,Jódar,banoscristian@example.org,Operations,18508.76
Concepción,Pintor,ciriaco13@example.net,Marketing,39842.56
Dalila,Palacios,marcia02@example.net,Human Resources,36743.66
Francisco Javier,Molins,carreterogala@example.org,Sales,19489.12
Jose Ignacio,Elorza,gualjose-luis@example.org,Sales,63101.66
Marino,Gomila,qcamacho@example.net,Marketing,46182.87
Francisco Jose,Morata,dario33@example.net,Sales,51039.42
Dionisio,Ramírez,danilorobles@example.org,Engineering,27526.27
Angelita,Moya,feijoomarcos@example.net,Engineering,34316.46
Amor,Torrijos,alemanynayara@example.org,Operations,40059.09
Liliana,Lumbreras,maria-luisa00@example.com,Sales,56341.2
Virgilio,Gargallo,marquesjose@example.org,Engineering,23035.06
Rubén,Ayllón,hildasancho@example.com,Marketing,76586.49
Nicolasa,Jove,severinoruiz@example.org,Engineering,71563.59
Yaiza,Vargas,spacheco@example.net,Engineering,44043.61
Rosario,Viñas,rosalinacoello@example.com,Engineering,38882.83
Lupe,Cal,olgareal@example.com,Operations,46587.67
Angelita,Gonzalo,vtorrent@example.net,Human Resources,64910.73
Baudelio,Torrent,osoriocelestino@example.org,Marketing,56588.92
Nerea,Camacho,hidalgocandido@example.com,Human Resources,50167.01
Quique,Chico,viviana37@example.net,Operations,78634.57
Fausto,Nadal,jarana@example.org,Operations,72637.72
Román,Ruiz,ambar37@example.net,Finance,51806.03
Calixto,Pinilla,lealmaxi@example.com,Marketing,42900.73
Roberto,Diaz,vigilaurea@example.org,Sales,72321.16
Hipólito,Alcolea,adelardo60@example.org,Sales,23090.47
Duilio,Giralt,ceferino54@example.net,Sales,19489.69
Amando,Marcos,pereraasuncion@example.org,Engineering,19127.68
Evelia,Marco,ayusolazaro@example.org,Sales,76553.71
Humberto,Costa,alegreani@example.net,Human Resources,75016.22
África,Elorza,maria-luisajulia@example.net,Human Resources,32374.47
Pastor,Estrada,luna35@example.net,Sales,52737.14
Virginia,Alonso,pedro43@example.org,Marketing,79120.67
Eloy,Vidal,barceloemelina@example.com,Finance,77478.32
Eusebia,Alcaraz,vidalrodrigo@example.org,Finance,76192.3
Marcia,Jordán,tormofortunata@example.org,Sales,64652.86
Anastasio,Atienza,atilio26@example.net,Marketing,23442.52
Benigna,Calderón,jose-mariaabella@example.org,Human Resources,29960.45
Olga,Recio,donosoesther@example.net,Finance,48746.02
Flavio,Pozuelo,ricoduran@example.org,Finance,34694.42
Edu,Garcia,alfredocarrillo@example.net,Sales,71493.99
Olimpia,Sans,jcueto@example.net,Operations,72770.51
Rosario,Lucas,ncoll@example.net,Engineering,53682.48
Olimpia,Talavera,gilabertrosario@example.org,Sales,48305.8
Gonzalo,Jimenez,juan-luis67@example.com,Human Resources,68943.22
Manolo,Canet,alcides19@example.org,Finance,24414.82
Pilar,Vila,msegui@example.org,Human Resources,43425.4
Candelaria,Castañeda,marcelobelda@example.org,Finance,78917.65
Camilo,Morante,cortinaesther@example.net,Sales,40192.06
Alex,Polo,eugarte@example.org,Engineering,29593.85
Jose Carlos,Barrio,cuetoruperta@example.org,Marketing,60611.59
Eli,Bernat,nataliafigueras@example.org,Operations,30463.93
Tito,Ugarte,brodriguez@example.com,Finance,24015.15
Rocío,Puig,tvelazquez@example.org,Human Resources,41655.75
Sandalio,Durán,gema25@example.net,Finance,51996.18
Cristian,Gomez,cidpaz@example.com,Finance,67841.89
Amílcar,Boada,manuela06@example.net,Human Resources,32084.33
Luis,Roura,olalla93@example.com,Human Resources,61913.4
Fermín,Mateo,morena65@example.net,Human Resources,21040.08
Victor,Infante,florentinoquintero@example.com,Engineering,56997.99
Albina,Cruz,valentina56@example.net,Marketing,65367.79
Calisto,Cerdá,ggrau@example.net,Sales,44645.46
Diego,Gimenez,msoriano@example.net,Marketing,70141.69
Etelvina,Gras,sotojose-carlos@example.net,Marketing,21740.72
Lázaro,Cuadrado,lumbrerasbonifacio@example.org,Operations,64789.35
Salvador,Solana,camilauriarte@example.com,Human Resources,28602.24
Joel,Álvaro,smoran@example.net,Sales,26780.15
Margarita,Peral,susanasaldana@example.org,Human Resources,25287.57
Raquel,Vicente,alba74@example.net,Engineering,63426.15
Jonatan,Ribes,velezeliseo@example.com,Engineering,37509.23
Benigna,Vendrell,vmurcia@example.org,Human Resources,38573.46
Sosimo,Múgica,domenechabril@example.net,Operations,68614.62
Jacobo,Miguel,vidaladelia@example.org,Marketing,77475.99
Emiliana,Prieto,yreguera@example.com,Human Resources,50764.21
Bienvenida,Aguilar,ruben76@example.org,Engineering,41391.23
Adrián,Alcázar,cristianbanos@example.com,Human Resources,44318.51
Virgilio,Mariño,luciamoles@example.org,Finance,23676.82
Severiano,Morcillo,gallardocarlito@example.com,Finance,48852.61
María Cristina,Simó,sanchochucho@example.com,Marketing,31946.44
Valentina,Esparza,rafael85@example.org,Marketing,19116.19
Fanny,Martinez,nachobarrena@example.com,Engineering,64180.59
Brunilda,Zaragoza,qsantana@example.net,Human Resources,76152.4
Mamen,Vega,cbenitez@example.org,Finance,54588.44
Felisa,Marcos,gutierrezflorentino@example.org,Human Resources,52710.58
Nélida,Palmer,hernandezesmeralda@example.net,Human Resources,77598.82
Nazario,Fernandez,emilio64@example.net,Engineering,33295.05
María Carmen,Pelayo,trinidad73@example.org,Finance,34305.66
Néstor,Polo,escribanotomasa@example.com,Human Resources,70459.52
Martin,Rios,saezjuan-francisco@example.net,Engineering,57652.5
Remigio,Ródenas,valentinzabala@example.net,Sales,46310.98
Sonia,Sastre,jovita65@example.org,Finance,66337.99
Tristán,Bru,ana-sofia63@example.org,Finance,31305.65
Eleuterio,Tolosa,galasalvador@example.org,Marketing,43607.07
Ariel,Rius,bsalom@example.net,Finance,29445.51
Loreto,Nicolau,ortegaaurelia@example.org,Engineering,71286.49
Angélica,Otero,eloybartolome@example.net,Engineering,77645.55
Roberto,Losada,crobles@example.org,Sales,59091.69
Salomón,Montoya,qvillegas@example.com,Operations,69077.63
Cecilia,Villanueva,victorpont@example.net,Marketing,71372.29
Sabina,Ramírez,teoferrando@example.org,Human Resources,62250.58
Plinio,Aramburu,gabaldonlino@example.com,Human Resources,22756.19
Etelvina,Lozano,amadopozuelo@example.org,Finance,59638.62
Florentina,Muñoz,miguel-angel60@example.com,Finance,73681.38
Venceslás,Briones,nebotsamanta@example.net,Engineering,77782.62
Omar,Romero,franciscogilberto@example.com,Human Resources,66515.54
Antonio,Pazos,gemacastell@example.org,Human Resources,54716.61
Loreto,Frías,amorestono@example.org,Sales,36373.5
Kike,Noriega,flavia29@example.com,Marketing,65297.78
Raimundo,Verdejo,bejaranoabel@example.com,Sales,53365.06
Manu,Jordá,avergara@example.net,Operations,76645.87
Darío,Ferrándiz,judithbaro@example.org,Marketing,37194.41
Zaira,Chico,roperogabriel@example.net,Sales,58922.21
Nilo,Salgado,cuestanoelia@example.net,Marketing,38305.55
Magdalena,Adadia,cintia95@example.net,Engineering,71631.02
Ámbar,Alvarado,evarobles@example.org,Sales,60177.69
Melisa,Porras,vascoquintero@example.org,Finance,52775.62
Dorita,Anglada,villenadavid@example.com,Engineering,19338.79
Ernesto,Aroca,ksureda@example.net,Engineering,60073.08
Roberto,Benavides,saturnino15@example.net,Marketing,23967.62
Alberto,Gascón,trinimedina@example.com,Finance,35959.76
Fabio,Cabeza,tejeravidal@example.org,Operations,31586.55
Alfonso,Manuel,ttoledo@example.org,Finance,44655.36
Maxi,Polo,ccastells@example.com,Sales,74760.23
Leticia,Collado,dvalles@example.org,Finance,74832.72
Irma,Roldan,rico23@example.com,Sales,62362.09
Bernardita,Francisco,cloe42@example.net,Sales,46970.3
Luis Miguel,Barrios,beltranmiguela@example.org,Sales,79616.48
Graciano,Palomar,zapataagata@example.org,Operations,37810.7
Lara,Requena,burgoshortensia@example.com,Marketing,64796.68
Che,Atienza,manola19@example.com,Marketing,47702.93
Adriana,Manrique,natanaelbustamante@example.net,Sales,63816.81
Roberta,Ávila,btapia@example.org,Marketing,18946.74
Adelia,Acedo,jmontalban@example.com,Finance,34618.7
Cipriano,Mata,veracabezas@example.com,Marketing,78980.53
Paula,Higueras,lina51@example.net,Marketing,43533.29
Emilio,Ortiz,infanteemilio@example.com,Operations,34641.41
Adrián,Salcedo,somozajose-luis@example.com,Engineering,43179.07
Severo,Jordá,melchorrossello@example.org,Operations,32192.39
Josué,Navas,miguelalfonso@example.com,Marketing,73991.15
Hilario,Diego,teodosioatienza@example.com,Human Resources,53788.09
Isaías,Mascaró,valdesfelipe@example.net,Sales,53383.99
Ciro,Carrión,eugenia11@example.com,Human Resources,31611.38
Ruth,Manso,emma08@example.org,Finance,74783.98
Adelia,Bartolomé,nbenavent@example.org,Finance,25330.96
Fortunato,Palacio,espinosaovidio@example.net,Human Resources,75200.19
Raúl,Cabezas,iniestaemelina@example.com,Finance,44383.55
Lorenzo,Salamanca,lgil@example.org,Human Resources,54170.78
Leopoldo,Téllez,amormorena@example.net,Human Resources,76733.42
Clemente,Gallo,almagroileana@example.net,Operations,66751.22
Chita,Fábregas,ghoz@example.net,Engineering,56164.52
Cristóbal,Moya,octavio98@example.org,Operations,35101.88
Olegario,Vázquez,lupelillo@example.net,Finance,47971.88
Eli,Jiménez,balduinoplanas@example.com,Marketing,75928.55
Palmira,Barrio,vpalmer@example.com,Engineering,26658.14
Emigdio,Sainz,rosellojose-miguel@example.com,Marketing,24212.53
Teresa,Roman,emmaguzman@example.net,Human Resources,23500.82
Godofredo,Rodrigo,requenalope@example.com,Human Resources,56598.99
Lucas,Alcántara,reginacanellas@example.org,Engineering,76179.79
Belén,Meléndez,gmayo@example.com,Sales,77592.9
Régulo,Barón,fharo@example.com,Operations,42197.92
Rosario,Gomis,zabaletamaricruz@example.net,Engineering,79122.52
Herminio,Delgado,garranz@example.org,Operations,38019.13
María Fernanda,Fabra,lupe42@example.org,Operations,21036.67
Yésica,Martinez,kharo@example.org,Sales,34094.94
Lina,Tomas,dafne43@example.com,Operations,49200.39
Rosenda,Sans,severianovara@example.com,Human Resources,25855.29
Jordana,Álvarez,nilocastillo@example.net,Marketing,78112.34
Roldán,Hidalgo,haydeepelaez@example.com,Operations,73524.0
Sara,Villanueva,mariscaljafet@example.net,Marketing,35631.89
Ezequiel,Mendez,teo37@example.com,Finance,39110.39
Andrés,Núñez,ignaciarico@example.org,Finance,71388.23
Ambrosio,Mariscal,jordareinaldo@example.com,Operations,51141.73
Isidro,Fuentes,agustimaristela@example.net,Operations,48398.63
Hilario,Gárate,edgar45@example.com,Operations,47146.76
María Carmen,Urrutia,qfuertes@example.net,Finance,65359.86
Marisol,Collado,barcenamilagros@example.org,Marketing,40295.83
Roque,Madrigal,sevecazorla@example.net,Operations,40201.8
Bernarda,Checa,eroldan@example.com,Finance,21476.18
Carlota,Cisneros,jordanavalenzuela@example.com,Marketing,47622.48
Chus,Mosquera,colomtoni@example.com,Finance,40185.49
Edu,Cifuentes,xmancebo@example.net,Sales,75276.36
Tadeo,Miguel,valleasuncion@example.org,Human Resources,27780.98
Modesta,Puig,regulocobo@example.com,Operations,79408.16
Macarena,Cabrero,bespinosa@example.net,Engineering,26092.22
Felipe,Arcos,ncuenca@example.net,Marketing,44081.56
Estela,Losa,hervasnicolasa@example.com,Engineering,56421.94
Águeda,Gallart,silvamatias@example.net,Finance,39422.42
Jovita,Valcárcel,jordanarivas@example.com,Human Resources,79726.25
Desiderio,Angulo,evangelina32@example.com,Engineering,35038.03
Cándida,Arjona,dmarti@example.com,Operations,56396.37
Armida,Román,noabonet@example.com,Engineering,31837.6
Ale,Baquero,acostaeloy@example.com,Marketing,77941.83
Gerardo,Mulet,jesuscastejon@example.net,Finance,37559.15
Matías,Cisneros,sebastianhuertas@example.org,Marketing,24868.02
Paola,Casado,miguel-angelmuro@example.net,Finance,61308.38
Ileana,Martinez,valencianotomas@example.net,Operations,47897.67
Elodia,Pelayo,bermudezmarianela@example.com,Marketing,28620.01
Mónica,Español,edgardo98@example.org,Engineering,53004.9
Luisina,Feliu,esthernovoa@example.com,Operations,78770.42
Mario,Pagès,flaviamateos@example.net,Finance,27606.4
Rafaela,Cardona,leonciohuguet@example.net,Engineering,20233.75
Clementina,Huerta,baudeliogargallo@example.com,Marketing,69304.44
Eloísa,Olivares,zuritaplinio@example.net,Operations,60659.63
Apolonia,Nuñez,gcodina@example.net,Sales,53110.36
Flora,Rodriguez,corbachocintia@example.org,Human Resources,23990.09
Vanesa,Rios,martina00@example.net,Finance,42596.76
Prudencia,Echeverría,angladaalma@example.net,Engineering,47124.15
Fulgencio,Duran,alonsoandrea@example.org,Marketing,23233.09
Calisto,Santamaria,jose-miguel86@example.com,Operations,46918.59
Xavier,Silva,marianosantana@example.org,Sales,22708.45
Joel,Cañellas,gcortes@example.net,Finance,79226.05
Nazaret,Chaparro,rodrigogargallo@example.net,Marketing,61066.62
Fanny,Múgica,consuelo96@example.org,Operations,33960.88
Teófila,Borrás,dparra@example.net,Operations,57468.77
Elvira,Alfonso,tripoll@example.net,Sales,50706.65
Edelmira,Pastor,osvaldo18@example.net,Operations,19081.33
Candelas,Olmo,zleon@example.com,Sales,42219.78
Ana Belén,Aguirre,rogeliofalcon@example.net,Finance,62063.89
María José,Gaya,domingocristina@example.org,Human Resources,74789.02
Rosalina,Doménech,varelaluis@example.org,Human Resources,51539.09
Albino,Milla,garrigademetrio@example.org,Sales,24458.05
Cruz,Mulet,diego60@example.com,Sales,67316.37
Dafne,Cadenas,anastasiasarabia@example.org,Engineering,21031.25
Sarita,Carballo,luis-angeltapia@example.net,Human Resources,25306.99
Ismael,Bilbao,andres63@example.org,Finance,68120.96
María Carmen,Martí,edgardo35@example.org,Engineering,43630.81
Bernardita,Amigó,gerardo69@example.net,Marketing,75917.65
Socorro,Sanz,cirinocriado@example.com,Finance,30214.41
Pastor,Llobet,ana-belen02@example.org,Engineering,36703.55
Félix,Suárez,valdeslisandro@example.org,Operations,69251.47
Beatriz,Codina,friasmartin@example.com,Finance,53822.33
Tomás,Ferrero,encarnacion03@example.org,Finance,76888.62
Leyre,Arce,gustavopalomares@example.net,Sales,25013.31
Lola,Chico,ciriacolaguna@example.net,Finance,70790.26
Baudelio,Pizarro,nicolas33@example.org,Engineering,57865.58
Américo,Echevarría,pujadascarlota@example.com,Human Resources,45787.84
José Manuel,Avilés,maestrecelestino@example.net,Marketing,55385.76
Clementina,Sureda,eva-mariaperez@example.net,Marketing,30451.23
Yago,Cepeda,benitamiguel@example.com,Marketing,43655.58
Trini,Colom,noemi06@example.com,Engineering,30180.0
Aurelio,Roselló,eiglesias@example.com,Human Resources,62670.36
Rafaela,Palma,abigail30@example.com,Sales,35644.72
Teo,Barroso,llabresjose-angel@example.net,Marketing,22544.22
Pedro,Carranza,nidia45@example.com,Engineering,42593.23
Concepción,Muro,hermenegildo97@example.org,Finance,77831.75
María Teresa,Marquez,rosalina65@example.com,Human Resources,77622.13
Wálter,Fernandez,pratanita@example.org,Engineering,38155.33
Vilma,Poza,macarenarojas@example.com,Engineering,59509.56
Pedro,Cáceres,xiomarabayon@example.com,Human Resources,49161.82
Encarnita,Pedro,diegoleopoldo@example.net,Human Resources,44310.14
Maura,Moliner,jose-luislara@example.net,Marketing,42154.97
Teófila,Arana,lupe42@example.net,Sales,41723.95
Flavia,Cabañas,juliesuarez@example.org,Finance,76010.89
Juan Francisco,Arellano,trini00@example.net,Engineering,26737.23
Josep,Sosa,bustosadora@example.org,Sales,59662.54
Olegario,Giralt,villenaadelaida@example.org,Human Resources,50453.01
América,Borja,eliseocabo@example.net,Sales,66947.6
Simón,Torre,imeldaguardia@example.org,Operations,21233.03
Vicenta,Criado,gosorio@example.com,Marketing,38311.27
Fausto,Leiva,marinooliver@example.org,Human Resources,30296.4
Gilberto,Herrero,garciamaria-manuela@example.com,Operations,50892.99
María Cristina,Vives,huguetdora@example.com,Human Resources,21975.13
Araceli,Exposito,maximiliano95@example.org,Finance,79240.05
Saturnina,Olmo,maparicio@example.net,Finance,53564.17
Susana,Anglada,alejochico@example.com,Sales,57919.19
Leandro,Escribano,violetacosta@example.net,Finance,70523.54
Candelas,Laguna,barredabrigida@example.com,Human Resources,26825.78
Yéssica,Pascual,nazarioborrego@example.net,Engineering,78670.12
Sofía,Solera,kike29@example.net,Human Resources,20991.05
Dan,Ferrándiz,roxana60@example.org,Finance,78885.36
Ambrosio,Alegria,granadosjulio@example.com,Engineering,38406.57
Haroldo,Moreno,maria-manuelapina@example.com,Marketing,57109.89
Cosme,Diéguez,reyesvillalonga@example.net,Sales,63636.28
Aránzazu,Jurado,jpena@example.com,Engineering,64528.46
Nadia,Jimenez,fcampillo@example.com,Human Resources,52672.02
Daniel,Beltrán,jpozuelo@example.org,Operations,31532.59
Nydia,Quintero,veracarmina@example.com,Sales,77563.56
